rna_cond1_S1	rna_cond1_S2	rna_cond1_S3	rna_cond1_S4	rna_cond2_S1	rna_cond2_S2	rna_cond2_S3	rna_cond2_S4
369	1212	1359	956	642	838	630	664
8612	4853	3217	9452	6108	5718	11403	11389
2745	15720	73818	247709	3227	6102	48140	123915
8	13	26	17	45	12	32	12
3790	1471	2485	1887	981	1044	1055	582
558	307	432	567	217	153	80	176
601	756	1418	1781	827	1602	548	1301
1029	2796	4409	508	1728	3812	3871	3107
93	39	40	114	68	83	155	97
7421	7846	1946	7067	7641	9044	6834	3717
33	17	15	27	59	63	52	61
9	10	7	0	18	2	7	20
1807	1523	2227	1673	1544	763	1261	774
3	4	1	19	4	3	2	0
2322	2066	1142	2034	1006	3081	3115	2200
1843	2964	14172	98395	7673	25291	51401	182625
159	402	123	586	390	223	193	90
35	18	78	102	39	54	47	23
2	4	2	8	2	4	6	0
44	213	158	125	115	92	139	134
638	1727	2558	927	802	1045	769	823
7	4	2	4	6	1	0	2
47	29	10	23	56	23	14	11
66	108	67	62	142	104	74	97
119	139	70	74	445	288	780	485
315	307	228	189	244	317	396	387
37	16	38	23	23	27	26	15
28	62	18	77	8	3	26	49
63	26	37	19	6	16	43	6
5735	5425	2427	3905	3399	7131	3849	4403
445	1009	2503	5274	30	34	427	509
215	218	389	246	556	396	647	370
224	251	284	218	125	113	67	58
1829	2157	2273	3960	331	701	1140	462
1212	741	1017	1008	484	886	793	765
124	74	63	91	122	115	25	154
356	575	190	921	70	213	68	127
318	51	78	185	366	225	235	182
193	69	114	110	60	36	21	46
578	834	1418	737	425	218	264	118
732	978	1482	1877	747	952	2010	1045
476	820	817	342	428	597	1204	1053
49	102	101	264	116	64	54	55
135	140	144	80	12	59	221	153
145	18	103	25	116	102	86	101
87	86	41	85	25	18	24	30
5	21	8	3	10	13	3	8
14	16	21	23	15	9	9	9
1427	2594	2200	1152	9434	4303	10052	13453
232	271	72	125	97	227	118	100
149	410	307	397	539	621	1111	1200
310	496	230	251	905	620	221	267
394	750	512	947	695	304	413	325
2687	1527	4521	562	1642	1984	2603	974
476	264	125	865	216	267	507	315
29	79	47	32	55	154	99	112
31	16	19	14	37	43	42	14
149	98	95	100	91	102	80	119
21	11	14	9	13	12	23	5
1181	1874	1211	555	706	4466	663	4691
794	614	684	1694	639	415	1136	517
48	191	108	71	110	127	68	197
35	32	35	44	53	48	32	69
590	454	673	619	1126	460	959	468
17	21	6	10	14	10	12	8
159	120	139	101	57	113	115	98
678	419	730	485	1281	641	692	1309
569	358	537	748	219	288	457	188
1217	613	2002	1610	1098	1906	1461	779
241	149	168	85	716	344	486	886
34	66	51	85	76	21	78	50
11	15	6	9	13	4	7	8
841	1606	1448	6295	1032	8757	29106	46774
20	4	16	34	25	26	33	40
19	20	19	27	11	47	17	13
255	135	62	98	85	75	79	66
48	40	16	23	93	71	151	77
624	288	793	284	547	458	268	795
174	24	112	261	247	160	140	126
73	130	71	90	78	91	73	97
1076	499	586	640	1648	1365	386	487
102	267	96	212	222	208	169	43
2088	7246	20774	111359	6633	14744	76210	351707
499	767	714	602	540	1020	850	706
197	97	208	104	112	138	170	49
606	624	610	841	280	300	246	453
1391	2022	1179	977	2426	2362	1724	1273
45	101	80	55	91	77	147	60
170	143	548	303	380	385	105	151
105	23	27	73	73	42	69	28
10887	16345	7566	8298	8970	14840	21721	31911
5842	8125	3244	5106	2843	1190	1727	1630
26	42	18	28	31	15	16	27
7	0	0	25	140	102	76	131
353	115	260	135	1001	326	467	495
377	728	670	449	602	764	1256	692
8	8	6	14	14	14	24	12
1112	685	162	1212	506	782	863	702
292	527	166	355	473	315	918	773
79615	46333	49186	66963	41333	94800	91812	64524
59	61	76	47	15	84	30	70
146	187	1690	6108	270	578	3306	4481
239	290	258	233	142	102	214	362
15	11	10	16	21	17	7	13
7	5	5	0	4	6	0	3
626	2426	764	1923	3083	2224	3058	1849
287	244	134	167	396	253	239	462
9	4	3	11	17	25	17	44
150	508	584	424	374	101	438	137
263	87	223	62	124	181	103	99
478	448	1129	1164	401	199	434	374
86	67	181	43	49	74	77	122
6	9	9	5	13	15	15	11
2833	21981	28915	101919	1761	9437	30762	31222
20	22	21	35	16	17	24	55
13073	29588	17882	23566	16948	18646	24618	44137
3	6	5	8	3	2	8	3
361	159	247	299	260	205	132	159
5037	5694	29659	106762	26522	54842	112386	400929
18	2	20	17	32	45	66	40
123	439	305	760	601	370	366	809
528	401	421	412	229	224	333	185
363	127	266	103	313	361	386	61
209	119	262	123	64	205	480	312
8	9	6	8	1	0	1	0
122	54	109	283	327	260	327	529
26	23	28	9	38	41	53	7
7215	5706	77149	111805	1264	2411	10184	21538
171	184	139	139	375	294	308	250
69	30	41	31	62	70	27	44
30	21	85	12	99	55	86	40
25	10	14	17	20	11	11	27
80	147	186	223	81	188	186	167
597	812	1534	518	1049	514	1242	486
6	8	8	3	33	18	9	18
226	419	561	463	95	41	326	55
720	1108	230	155	221	335	298	239
3829	4237	3092	1613	2012	3003	3766	1432
11	16	19	35	32	14	21	26
378	375	72	251	70	116	145	121
2195	1693	1771	1010	1541	786	425	1024
521	952	749	870	546	484	776	426
476	584	516	485	525	387	721	466
11	3	9	20	2	6	11	4
71	99	42	59	65	57	28	103
1243	553	440	1186	976	2078	1305	757
7109	13926	14035	16835	34505	18876	8536	14758
1	5	20	2	6	5	8	0
441	352	281	195	275	412	225	403
161	194	98	64	24	90	307	148
159	574	233	319	279	543	107	304
878	1188	703	633	539	938	638	463
1202	1811	1920	847	633	972	1176	838
1208	808	1112	997	482	1641	594	1132
49	29	71	37	76	32	11	13
119	500	286	729	448	474	1024	798
278	794	372	192	537	277	274	238
27	120	100	144	33	92	40	183
56	17	52	24	16	33	32	52
1	13	27	8	6	2	5	4
1068	2084	1608	1766	1011	3714	3198	1661
248	337	192	210	251	291	188	97
99	57	45	86	54	95	67	169
182	248	194	321	145	343	378	452
3429	3684	3232	4583	8979	6152	5887	3685
39	142	180	214	71	101	62	73
1624	2123	1589	2807	1024	1962	2935	1197
252	370	107	178	299	129	351	228
352	196	461	910	168	423	189	225
3376	4352	5450	2562	2954	5169	3850	1804
59	26	14	15	17	22	34	22
2517	565	1117	1426	1222	958	2565	437
120	47	94	117	128	90	211	179
228	328	208	110	47	65	66	47
1969	2101	3042	644	2093	1555	901	1313
95	71	136	66	85	130	160	97
405	415	555	385	639	193	61	307
297	413	417	562	384	131	202	241
840	716	1335	1733	810	408	888	1121
1199	3088	325	1494	639	810	2000	2820
381	341	80	451	416	357	306	200
913	456	1902	3916	1745	3711	2527	2227
65	15	24	35	6	11	15	27
580	189	399	590	159	113	336	101
688	786	522	500	250	233	794	472
843	329	683	559	660	410	175	403
488	284	445	361	469	494	545	577
188	762	959	1554	706	695	367	731
7	4	11	9	8	11	13	20
2409	3464	5884	27892	231	782	1743	4092
31	77	5	45	43	9	29	118
316	219	486	225	88	148	130	96
327	473	158	278	456	262	356	243
314	453	431	941	160	151	193	403
614	839	440	365	917	609	316	726
655	558	7493	36641	12445	21868	42758	143856
77	161	290	754	481	384	128	893
29163	42019	31200	26213	38099	34406	41008	43389
172	55	75	54	90	67	87	145
9	107	283	505	120	514	990	2471
33	65	26	110	83	132	174	73
34	20	8	19	4	8	2	8
14	17	11	27	55	42	41	81
95	32	39	61	32	12	9	23
14	10	23	6	11	10	4	6
2147	2798	1183	1833	1049	1066	993	491
438	280	435	660	279	44	198	135
428	843	3414	7484	119	541	760	3809
3	7	7	8	5	4	11	9
13	9	11	17	16	17	10	21
620	373	275	141	1449	639	632	969
137	138	160	35	154	59	70	98
3579	3817	5400	4838	4316	2010	2128	2868
366	1252	1491	1122	535	676	701	438
20	21	81	189	17	12	95	84
392	383	577	1040	1127	359	477	605
329	160	338	41	299	122	172	46
68	79	38	25	27	46	17	35
162	251	80	107	153	352	169	194
279	208	509	284	965	359	1069	1232
265	230	217	313	510	672	384	1048
5	3	6	1	1	3	3	8
37	50	23	13	38	49	47	47
42	17	32	54	28	35	44	8
317	449	1656	666	1211	324	208	245
203	78	85	255	167	212	71	135
264	468	766	176	1027	515	103	261
341	694	270	158	352	296	850	387
64	15	83	44	22	6	28	29
158	99	41	111	156	126	133	81
233	210	271	202	79	45	56	25
342	400	183	158	90	259	145	158
99	211	91	233	76	80	110	77
240	403	386	111	531	382	158	269
44	201	239	118	323	193	180	195
6025	3862	4789	7856	6833	3693	3658	2578
2661	2528	7184	7532	939	3585	5376	6037
468	85	424	665	561	163	441	295
515	1518	5440	4973	172	658	3261	939
40	37	45	44	28	51	48	22
78	541	100	306	786	249	196	349
304	281	306	304	161	481	533	478
764	493	691	526	720	268	793	606
1	8	6	4	7	3	17	4
6494	2861	3007	5096	6569	7517	9938	2297
2240	1986	1135	1911	1540	2060	6632	1119
386	298	462	206	1301	373	533	570
1221	3825	5685	2627	2960	3624	1262	5195
1483	5664	5966	3328	974	2426	4348	8489
3907	2604	2573	2319	3570	1665	1923	3646
3924	3305	738	2599	1409	2398	705	2160
35	120	171	60	116	93	102	34
217	101	336	87	149	144	269	333
216	328	266	141	529	408	385	467
7	3	6	6	5	3	3	5
156	278	88	217	37	97	137	156
533	407	408	840	292	354	170	291
105	187	483	2372	294	1471	2053	1784
435	186	516	480	1637	2392	739	442
1348	703	1172	658	968	1310	1000	1200
175	261	226	158	137	79	57	74
77	102	66	64	142	61	78	14
435	404	1312	1174	354	448	277	519
1712	4079	2318	3039	2504	2775	3211	1829
1064	323	1812	4973	2092	1967	3496	1836
112	191	168	220	229	250	171	102
24956	41026	35930	26780	40685	29261	45294	50320
23899	14632	26363	33278	27996	31291	21841	27903
4	2	28	13	17	21	9	36
11	49	104	363	11	1	30	109
530	612	442	1020	938	933	987	1195
27	28	70	61	23	24	37	44
606	226	368	777	556	349	209	225
1313	393	699	1245	1134	899	1416	1576
410	434	821	319	342	517	846	973
188	131	124	96	309	119	771	156
112	117	137	115	203	134	192	30
58	64	55	51	27	7	26	25
522	262	409	293	2480	1042	1129	2225
34	61	254	183	284	478	646	409
101	271	133	117	690	214	807	356
1137	690	679	1276	1207	619	603	639
126	63	120	78	40	68	37	9
410	115	225	650	261	300	400	476
3248	4421	3109	5863	6464	11759	4645	7119
149	81	53	93	419	145	270	134
2945	2774	6508	2603	1288	3764	3638	9598
99	33	74	37	107	117	51	37
76	200	18	172	21	57	79	151
6	2	11	10	5	3	6	9
454	679	300	415	340	462	252	769
4671	14199	102749	465456	46968	216490	596462	2831575
54	45	85	24	30	154	69	16
182	297	97	37	562	104	314	171
941	1062	4587	16914	7422	7206	19745	20921
11816	6289	12262	21232	12758	5982	12955	9790
39	244	213	234	61	12	75	41
17	19	26	36	4	6	2	12
1102	464	400	1081	1269	995	1578	1457
970	522	499	1022	561	325	192	754
446	705	1548	3206	306	1543	897	989
169	166	81	125	159	39	117	269
339	265	337	320	114	151	153	100
695	138	288	237	122	36	324	192
3918	1252	1826	2249	322	123	508	213
39	86	9	83	39	78	27	95
61	76	203	35	124	238	63	115
84	360	2123	4408	24	96	127	356
77	98	71	40	34	100	23	26
135	73	127	125	317	455	252	811
837	1414	757	1264	464	435	618	745
544	290	336	568	163	423	402	538
515	620	770	596	1531	415	1030	380
672	161	671	641	957	358	274	396
1880	1894	1194	1027	4772	3782	5136	5437
345	392	701	617	714	579	699	406
2196	8600	24459	41518	9552	13573	89083	157399
581	222	468	865	720	607	442	656
285	346	421	295	329	427	497	654
66	40	67	65	163	65	72	78
167	167	119	98	294	199	134	43
13	4	2	1	3	4	4	5
10	3	3	6	4	0	0	6
384	350	337	347	621	90	97	285
12358	19434	2600	17115	16321	10787	12547	11679
280	527	194	365	254	574	409	534
675	760	1027	418	1238	604	1237	922
77	143	77	40	124	121	111	61
268	241	79	47	247	210	240	131
244	111	148	102	301	229	107	298
1938	1404	2545	1436	1186	494	491	475
666	1191	1055	277	1090	777	644	846
209	470	1203	804	202	383	481	561
997	1393	1496	18601	2258	5016	39778	85374
865	1024	550	1273	750	1032	845	450
2484	1094	942	1067	1094	3038	2800	1011
10	214	292	600	61	71	297	686
83	138	230	170	54	89	67	97
402	628	3050	1292	863	542	713	2082
543	210	217	220	340	295	172	124
334	855	1680	690	385	641	216	754
372	669	913	756	79	65	48	185
322	977	715	456	479	362	179	668
41	119	74	52	53	59	50	53
94	317	35	165	265	574	287	627
209	63	33	328	42	30	45	31
166	123	83	129	123	67	58	279
61	156	317	630	12	44	50	167
6	5	4	6	10	6	7	9
185	58	164	243	90	185	99	185
61	94	97	150	225	466	285	310
59	162	41	131	126	51	120	99
705	798	262	2264	1394	384	328	704
14	103	78	50	14	118	604	3079
799	476	619	436	368	567	116	206
1451	1702	893	2969	743	3004	1456	2619
348	296	460	124	496	417	384	431
795	734	836	1283	1110	693	787	969
39	83	60	110	140	153	143	189
377	902	624	438	837	438	364	509
422	501	905	809	814	1027	981	870
25	119	0	721	6	22	0	203
109	722	273	429	321	227	532	287
996	841	1038	1145	1138	856	386	2157
45	23	36	38	44	25	17	5
253	411	266	291	281	135	522	184
782	1379	1688	1419	989	515	1649	1685
1309	1131	614	982	888	456	797	540
8	11	26	25	9	37	46	53
20	7	15	8	8	13	17	2
2034	1562	1504	1523	467	1313	283	656
75	130	130	148	25	32	56	33
186	1109	567	554	1166	1270	1251	853
507	370	313	173	313	236	149	194
754	926	862	1463	481	1387	540	565
856	977	452	338	1611	1122	849	1380
422	683	1067	848	775	445	363	1052
1025	1481	5269	45035	70	218	1741	1524
16	28	18	29	5	42	16	30
274	146	119	51	381	339	742	162
11	23	6	10	17	6	9	12
147	107	142	26	579	505	297	108
2164	1471	527	881	1947	2342	6406	4760
530	1690	3143	8961	3160	6715	12479	69635
27	50	24	64	12	12	34	20
54	82	20	19	33	12	11	3
452	70	415	188	204	420	511	343
287	311	149	118	206	233	132	69
3619	7115	5952	4852	30270	38669	63555	18407
26	188	429	763	8	17	28	50
512	247	839	433	250	146	139	203
473	294	292	140	364	61	217	418
151	183	118	99	79	140	151	72
198	244	508	194	334	214	199	218
23	59	217	503	9	2	17	20
1469	1861	2443	1789	1937	2171	852	560
822	1059	941	576	213	712	400	1234
341	1025	2577	762	3681	2777	5797	1530
47	60	45	37	67	22	57	22
139	62	180	66	189	174	175	86
573	994	830	620	65331	55574	15521	49148
257	175	324	337	243	178	389	350
3256	6789	9925	27280	380	1052	4027	12014
151	333	178	154	102	151	46	118
2146	1053	4011	2238	1024	2799	1270	1234
49	51	94	71	64	11	103	21
211	491	107	304	509	543	1057	1807
19240	18112	12906	49945	12028	22656	53382	73321
8	15	4	9	8	13	1	9
11415	29671	26421	13731	14963	23362	24944	27965
93	16	56	72	74	26	91	19
1651	4967	8749	21900	2825	3078	15326	25906
1	3	10	1	7	8	8	3
1755	2086	3938	2139	1030	3389	2086	2973
327	521	307	54	262	385	266	299
248	212	468	2949	359	978	4562	4444
158	132	470	455	229	339	77	321
51	20	21	79	44	24	37	14
131	147	71	108	18	50	23	8
1229	1106	1275	1225	209	495	220	539
423	173	415	797	899	548	355	370
12130	30548	112450	157099	735	2826	14128	27035
191	84	97	109	354	188	252	378
1397	752	1619	746	287	657	655	215
217	662	248	420	727	309	312	257
517	1119	8451	10248	1700	5741	2682	30717
2245	1297	3042	1898	2085	752	2389	1915
14	16	7	26	33	7	40	20
32	28	55	35	7	2	13	3
580	748	374	469	719	585	265	597
207	165	122	148	122	97	83	128
111	116	68	86	47	41	40	31
272	257	303	896	325	403	599	560
7272	2308	4118	5778	9037	4312	2851	5449
543	2268	6484	20497	249	320	2393	4794
80	32	26	45	76	189	131	193
4	9	6	10	7	4	2	6
372	115	221	623	193	312	517	412
966	669	1078	368	546	1194	577	1229
10	3	11	5	7	7	11	41
38	348	909	2199	16	44	71	171
429	743	487	801	758	1289	1152	418
2	8	7	0	0	3	4	6
778	255	305	642	398	649	576	286
782	185	725	377	1704	1466	887	1194
29	29	71	36	34	44	21	37
488	506	359	570	465	439	170	211
124	98	225	80	428	131	266	195
1	18	6	0	5	16	7	3
7999	21511	51358	209502	1248	894	11398	25831
2654	2049	4221	4333	9721	10351	13683	27348
3283	2307	4771	5327	4549	4034	7824	3256
2377	308	703	337	370	433	715	486
2092	2916	1246	629	1086	585	1136	1341
120	139	252	138	168	139	191	142
162	215	81	128	267	297	117	41
11	30	10	22	45	13	13	14
541	381	199	194	754	107	409	339
495	252	494	434	889	291	965	762
96	154	95	279	455	1209	627	1226
79	170	171	155	70	227	64	61
212	418	291	164	547	106	170	554
56	65	113	1131	170	426	2591	3838
117	95	291	324	662	380	119	692
168	221	461	173	180	178	272	189
1064	4637	2227	1276	2827	2563	3488	4069
1338	1677	2398	1785	3145	2699	3797	3011
5	5	4	7	9	5	5	5
68	90	82	56	28	107	72	164
15	12	4	2	4	2	1	4
1231	1928	2872	558	1905	2658	2396	2018
1723	2596	4225	3981	4466	3946	3943	1959
19497	17763	41816	25014	3182	7771	5509	8062
323	287	875	572	162	438	198	430
3028	9136	7185	4879	6993	3875	3086	5243
11	7	24	49	32	18	5	17
28	21	13	16	20	32	82	42
315	243	314	110	86	344	294	134
6	34	34	14	44	20	11	24
10	8	4	3	2	4	7	3
354	298	269	313	241	345	451	148
973	692	467	1266	1197	1360	1374	2032
31	94	89	108	13	34	51	21
26	43	32	65	37	22	9	27
20	37	76	45	5	13	20	23
3	9	14	15	3	3	3	2
1304	667	1089	3535	1108	3026	3538	4625
1256	416	463	522	421	391	515	773
215	152	159	61	323	61	91	51
30	17	43	58	40	31	13	30
27	36	17	15	1	0	2	2
129	59	61	46	62	78	37	44
1077	2273	1066	3185	1168	539	1039	728
82	55	37	50	141	175	97	38
1360	6858	4730	2968	6296	5800	5038	2075
88	40	65	49	26	33	26	29
499	2594	1963	5827	151	465	1739	1663
19	21	18	105	29	30	48	40
833	878	538	487	568	719	542	1179
205	458	209	277	420	158	111	530
752	802	849	472	219	245	546	332
1013	164	516	726	537	603	1163	700
7174	6979	7367	7577	31721	30313	46540	21115
4236	3822	2591	770	3355	3936	3082	4526
1163	962	1464	1983	429	1071	501	1105
271	183	743	1100	1424	1615	2159	1644
345	766	901	738	437	1649	918	1327
13374	30988	25465	22293	23434	20447	24206	58467
114	477	222	132	768	1382	890	707
5	6	4	5	4	9	15	6
38	29	22	29	59	40	26	60
18	55	22	36	37	47	10	28
18	49	33	27	33	58	78	70
158	347	107	102	387	288	145	135
75	208	204	193	110	149	40	116
654	337	1171	1711	915	1248	1292	738
50551	24792	26523	39450	33135	31987	63329	20522
130	310	347	251	1756	1164	1156	1905
130	103	33	78	128	127	77	82
119	155	500	305	824	805	247	557
137	92	52	100	11	13	10	6
456	177	181	151	159	96	156	105
1070	2639	1874	1950	2674	2248	857	887
1046	5020	6981	30632	6453	20068	103739	145446
21	29	32	26	32	22	37	19
6214	7404	9573	7131	3471	4982	4640	7000
210	274	295	533	622	442	510	403
149	261	239	284	205	308	321	322
414	2221	7746	11643	6560	6564	10335	116307
172	534	521	2183	436	851	3306	5187
955	553	1416	977	580	1008	853	764
124	334	613	708	613	700	608	530
113	101	46	60	45	33	51	26
8	28	44	18	15	23	24	12
84	278	266	1261	52	14	199	501
60	79	59	29	115	64	35	45
361	1269	359	1178	303	479	359	271
1090	5447	5236	12624	46104	43547	311943	338755
772	1010	514	800	998	1030	1149	859
306	149	131	226	128	115	26	135
26	22	62	25	25	25	5	31
333	209	194	214	508	208	460	325
1561	1614	2821	1684	2175	2546	2465	1772
329	398	368	284	324	245	123	261
125	113	340	94	122	20	84	274
516407	129482	361259	381416	215887	269711	486081	374357
133	74	49	54	235	205	185	156
206	388	127	374	392	297	414	197
4	9	12	10	13	14	9	10
239	734	260	385	419	323	960	427
1648	1972	1297	1344	3898	3907	2914	6563
16	6	17	13	12	3	8	15
194	53	189	16	29	37	11	20
73	245	113	38	258	37	84	43
1601	2483	1189	1645	829	1466	1167	180
116	163	237	160	245	145	186	221
592	719	223	558	522	350	544	386
86	293	153	266	289	195	428	215
132	113	50	64	203	182	74	134
3355	2906	11168	8311	3486	3577	9265	15414
882	2716	7888	26781	10808	11621	66565	50349
152	130	73	117	339	99	168	154
298	126	161	140	59	49	74	73
54	31	50	71	33	104	40	44
180	113	224	179	163	226	339	301
104	193	256	135	315	104	173	93
974	969	1642	1207	1503	1935	429	2202
4	2	19	5	19	10	15	9
45	114	27	62	21	32	47	32
101	36	97	53	69	33	49	40
14	11	4	33	24	21	14	30
1559	1080	2086	1812	4975	2588	5334	7293
255	373	436	188	231	281	243	283
79	45	100	69	33	29	61	50
108	39	138	40	14	66	153	32
297	686	644	327	105	140	178	149
2653	3763	49503	79508	19698	87095	66767	713994
15	39	15	13	28	57	30	41
136	1009	332	772	345	689	189	725
207	312	62	96	278	463	551	225
1246	4510	1268	2294	2025	1647	2392	2230
1278	679	882	644	978	918	697	674
1987	6754	15849	44872	424	2494	7808	4826
2476	6322	3211	4059	4987	3527	3153	2213
3610	6323	2741	3709	5346	2584	4350	5212
45	34	38	5	61	15	36	25
526	505	678	705	369	582	239	973
28	69	78	62	118	125	115	43
439	1162	394	1578	221	691	883	351
5	0	2	9	1	0	0	2
132	363	476	168	47	198	30	185
501	482	331	192	212	160	180	726
4080	4168	21743	46205	13826	29070	76937	212878
11	22	19	18	10	24	5	16
602	576	381	481	1702	1349	623	1115
447	522	534	418	470	497	694	381
25	23	54	393	3	7	34	45
74	42	49	38	120	53	422	110
380	412	499	105	1316	1724	1679	1059
25	80	804	985	110	106	466	1352
21	14	14	12	28	12	17	23
17	35	30	43	27	25	21	36
77	41	125	88	80	53	37	76
535	569	439	375	290	508	1013	945
399	1215	1064	1275	308	389	814	833
897	1255	1073	470	549	1345	1617	1092
329	257	160	464	156	496	150	192
11	10	2	3	5	11	12	7
2373	3034	2406	2475	1607	2787	2621	835
2953	2523	3230	2656	1408	2365	3461	2554
316	258	39	106	227	326	284	418
40	23	23	69	14	34	51	57
1235	568	1121	1356	1031	1975	1067	1149
15	5	5	8	2	19	7	5
33905	33947	98889	359730	349272	1008283	2471889	2533536
353	609	322	261	337	223	187	318
6	22	17	14	15	13	7	22
4214	2107	2368	3024	1714	959	2666	825
36	14	23	17	76	11	56	55
259	517	182	440	834	1135	343	185
1009	878	1313	1374	3884	4013	5013	2994
107	113	200	91	14612	19844	34311	54072
1135	565	415	448	141	320	120	62
779	552	607	485	1165	1002	2499	1936
28	6	10	12	7	9	15	6
181	284	267	116	196	158	210	158
1296	279	1083	194	474	581	508	933
1104	419	2080	1693	1523	5738	4627	2594
25	5	41	5	17	11	21	14
61	78	307	295	486	327	144	142
564	481	375	905	716	644	340	639
451	840	574	447	512	1358	648	873
12628	3524	19581	6261	7189	7942	5580	5109
247	497	519	969	501	508	929	244
219	157	21	171	124	113	148	54
2018	2173	3967	1023	1123	1119	986	1905
643	1181	2432	1716	1178	915	798	428
176	752	971	230	427	631	337	316
45	29	26	30	37	40	20	34
9	45	39	43	47	32	23	91
1421	2277	965	1030	3689	2647	1675	886
364	298	313	196	139	124	65	161
2122	778	855	1924	1994	2674	1449	2841
43	110	137	140	157	272	98	153
87	134	113	193	22	37	38	91
21	14	13	19	20	33	32	15
302	310	447	486	3201	1762	1079	1489
517	706	885	1564	1745	1346	2681	1975
311	259	569	318	329	533	736	440
62	65	126	54	59	40	71	70
31	168	134	188	118	122	45	175
243	724	2957	4121	22	106	736	893
885	228	808	900	1140	1398	892	871
102	48	97	55	297	54	364	42
7173	5510	9849	2697	6826	14691	16546	14594
312	547	478	344	55	206	78	176
554	254	410	880	523	1684	616	338
365	393	416	263	396	146	202	593
4408	23272	3588	10266	12730	8337	8453	16605
70	63	113	26	87	50	57	103
10	4	10	16	7	3	7	21
272	314	681	411	308	145	348	218
471	580	727	1015	994	1282	3396	1286
1561	2263	18339	46628	570	521	2318	16295
397	231	295	272	181	210	205	128
1232	629	2060	651	1300	1164	616	1700
312	249	146	407	124	113	51	246
606	3156	7335	14568	160	1013	1883	5301
124	265	2662	8051	145	298	495	1799
486	288	317	274	218	789	408	497
323	142	313	352	47	164	159	170
120	108	165	176	133	92	323	77
4	4	10	11	10	2	5	7
91	603	400	398	241	506	261	430
381	468	337	233	298	284	435	486
177	60	212	418	237	269	176	301
57	118	94	69	113	147	130	95
1235	860	767	1115	977	988	591	1008
2445	2478	959	1343	2824	1021	1289	1393
17744	25748	28850	28695	30437	28885	22610	27313
1318	936	848	771	541	793	882	941
98	46	118	86	149	88	36	58
47	31	35	70	67	25	39	131
15	10	12	6	54	11	14	9
134	88	287	290	391	405	476	418
44	22	48	41	19	43	20	83
768	1477	433	904	5190	4697	4836	4632
2121	1184	917	2267	1506	1374	2571	2172
1	5	2	7	3	2	4	7
820	866	429	493	710	435	583	839
187	108	107	123	70	85	50	33
200	450	388	293	426	278	147	438
7	5	17	4	4	8	20	9
16	14	47	49	28	97	44	31
153	187	272	314	231	155	145	132
523	807	552	909	334	251	114	143
13	9	10	8	5	11	9	13
312	205	89	206	119	279	81	126
804	1057	1118	996	903	1026	932	704
6559	6768	12008	8456	8370	2290	4941	3029
91	97	284	131	190	61	21	142
783	462	386	331	51	193	154	119
964	519	488	295	300	681	603	676
29	86	38	19	20	48	37	32
5803	9453	16014	9863	715	761	1259	2082
2228	5449	2280	2918	760	1023	692	1751
1366	1698	1826	1437	18671	11332	15899	12608
0	0	5	21	20	6	32	7
295	330	393	314	421	536	263	249
4203	7861	5406	2596	7221	3566	5383	2452
1666	1587	1426	690	992	525	297	523
1276	1020	762	1238	1400	1335	1378	1251
590	1018	1310	471	617	1005	580	562
420	201	912	710	773	902	746	333
7653	3630	16369	12929	16008	9431	20729	9118
573	1616	1020	1615	1570	707	941	1103
730	811	1711	677	1525	834	1663	986
297	377	1792	10022	51	106	666	655
686	1104	2503	1424	1430	2604	3052	3233
28	39	22	23	4	2	1	6
851	1125	901	497	10809	10377	14205	11699
788	3380	1805	3900	5365	6414	4986	2416
10115	4017	3951	12252	8094	12334	1296	3358
604	591	405	467	381	457	462	520
714	2212	403	578	1311	1048	503	1159
414	215	516	332	989	626	191	330
22122	13587	24418	33721	14801	31478	7565	8202
459	389	773	288	130	257	625	627
356	273	992	114	175	321	143	482
241	402	248	331	598	246	244	353
53	67	28	61	238	725	470	411
121	173	184	405	113	369	116	320
145	106	108	299	160	556	180	100
221	314	376	650	579	245	869	663
464	390	770	113	347	1117	719	490
39	26	15	27	24	18	22	26
801	2330	1409	13317	4935	19347	40292	135393
111	82	263	322	429	231	425	318
678	1672	984	1459	1059	531	169	1045
694	563	271	355	1029	1104	310	522
16	38	115	660	58	210	335	2081
3	6	6	4	16	16	36	30
403	517	352	582	148	445	349	171
131	109	44	123	237	107	70	61
1578	649	2163	3927	815	874	1319	1233
140	242	314	549	197	127	267	136
308	1394	3760	22426	1697	2759	8160	21324
322	457	536	580	1109	2655	3170	1351
11444	18676	14353	15642	3435	9192	2275	7635
625	694	368	411	859	1479	836	142
423	416	584	1059	1825	4054	2505	2443
944	672	1061	395	1342	945	1407	1145
864	707	724	724	833	565	675	721
4193	4525	4589	3529	2961	1892	2849	1810
762	2455	11763	9211	2754	19405	35889	79485
176	393	2302	6888	90	416	759	3421
900	501	634	247	1187	374	1489	287
1362	286	970	618	2693	2226	1146	1484
5	9	10	16	12	10	17	6
14	9	3	23	53	68	24	48
16798	6231	11512	20002	5425	6747	3295	2714
13395	14759	21242	4855	13098	5676	6672	10074
2918	1394	858	3797	1250	1461	4320	1525
21	43	38	26	29	12	48	27
712	861	1119	1156	1119	880	714	823
3941	666	1670	2437	3058	1284	1756	2131
117	189	75	95	110	99	69	112
282	523	153	81	472	559	130	287
204	453	256	287	271	295	208	311
7	1	1	4	1	6	2	1
223	108	119	143	328	200	240	181
3842	4209	4990	2954	4451	6896	5119	5194
19	6	6	4	4	3	2	6
