ribo_cond1_S1	ribo_cond1_S2	ribo_cond1_S3	ribo_cond1_S4	ribo_cond2_S1	ribo_cond2_S2	ribo_cond2_S3	ribo_cond2_S4
175	80	49	84	131	118	231	70
546	625	1262	410	1037	714	1633	1191
117	10	106	67	147	39	87	59
674	1277	809	525	1520	981	578	1423
31	19	17	16	7	5	15	5
2495	2169	642	2833	5503	1964	1968	863
6	4	16	22	16	8	11	2
21	6	7	12	21	8	15	23
4456	3473	9172	71744	10144	20557	14322	217382
17	27	12	38	23	16	48	11
401	393	554	464	351	404	107	368
1050	5123	9508	19222	1130	1040	6522	8007
16	9	26	21	37	16	6	8
1063	1104	1838	1152	2770	3337	2579	1925
171	302	77	166	73	244	120	146
88	80	54	83	90	77	76	63
390	426	487	316	579	184	462	488
1158	1733	1180	1946	469	123	179	272
186	191	42	68	48	38	202	62
1718	2553	3332	2929	4465	2446	3757	2856
54	32	23	29	3	13	3	3
4	1	5	8	11	17	3	8
81	56	42	54	29	74	53	23
136	193	134	86	41	34	76	69
67	117	99	29	29	26	65	62
111	107	111	164	1567	1162	639	746
582	630	1111	2594	1062	739	378	1505
8	19	18	17	20	8	52	14
37	103	41	23	52	191	212	44
619	184	456	538	133	249	436	296
2	11	1	1	4	5	7	1
483	4088	5016	25163	1237	5576	16405	30239
2	0	1	5	3	0	2	10
365	332	352	613	518	324	371	541
1	7	8	5	11	17	29	10
6	8	8	4	11	7	8	3
98	133	29	63	594	1058	1172	992
1020	647	439	501	171	237	111	276
3045	3918	2028	2248	918	2136	622	1258
5	9	2	14	11	8	20	4
83	55	187	205	10	59	59	65
3440	3013	2928	2885	2563	3355	2625	3210
71	66	58	84	158	76	146	55
29	110	121	93	61	116	257	136
48	13	47	43	262	316	84	200
3	2	3	7	10	9	5	0
325	2747	9612	16236	920	2664	6551	23047
41	82	38	32	95	52	68	86
220	291	303	221	474	383	173	242
3000	4332	2689	2647	6207	8272	5947	5325
1763	673	991	1435	540	815	407	802
1243	2093	1123	2230	2405	3234	859	2744
21	2	0	6	7	12	0	4
107	149	362	98	145	399	174	160
7238	4894	10428	3187	9926	9398	3442	5123
3	8	6	8	5	13	10	6
2075	4123	1002	2776	3541	1219	667	1104
426	1126	1027	726	2678	1256	1296	2242
183	436	143	322	45	129	125	114
81	49	66	36	55	50	42	23
136	73	118	89	76	164	77	143
30	4	11	23	8	7	4	1
4020	5747	6545	5487	16112	18124	19174	5115
214	368	659	236	287	516	385	416
3630	4887	12582	6262	4863	4602	3750	2449
13	50	33	119	52	64	66	52
650	561	299	404	538	321	324	761
403	428	396	435	701	195	1198	1204
102	81	84	54	39	121	59	19
58972	53474	51812	67615	12577	39527	69769	59318
134	224	172	41	167	249	111	126
207	127	171	362	167	389	378	216
717	616	392	569	87	95	152	193
1177	1152	1124	455	765	434	522	361
101	45	16	107	46	66	53	94
403	623	537	920	351	195	674	390
193	276	149	271	96	282	170	210
397	158	453	302	304	277	452	503
1310	1902	1160	3584	1575	1515	4925	3731
323	607	479	232	521	538	428	971
38	8	33	20	52	31	14	31
82	35	97	73	114	68	31	115
582	585	215	338	234	372	298	392
3305	5801	18418	26740	1780	5470	20481	27893
576	992	536	1774	573	1133	870	447
13	14	20	8	4	9	12	2
8	1	12	7	3	5	0	2
1439	2062	2773	2054	1725	2327	1601	1666
273	445	805	443	467	733	388	1015
98	208	155	203	171	269	139	67
136	258	996	4751	108	241	885	4252
15	38	38	43	17	21	13	14
576	448	226	855	469	130	244	302
647	843	468	702	976	727	1466	1126
1491	882	1756	840	859	1071	1322	805
691	588	451	426	447	932	200	145
83	80	44	48	106	31	61	63
59	63	75	207	4	32	61	205
616	950	1187	742	1531	1463	604	1564
25	34	103	381	19	98	212	742
140	1159	3494	4535	392	702	1776	7324
6	3	10	14	9	5	4	7
5635	3581	3268	1703	4633	3676	4188	3681
570	197	762	933	544	189	913	560
530	817	126	969	764	374	462	341
321	343	256	431	1008	1207	776	1175
200	224	1151	828	788	1094	336	505
149	47	128	115	89	130	147	200
69	23	34	65	49	42	41	44
139	31	49	74	159	162	160	165
4	0	14	8	2	4	11	9
2	4	7	7	20	0	9	13
60	47	25	34	66	45	89	54
2659	1075	2913	3517	880	398	473	2501
58	421	373	265	468	83	203	100
233	167	198	389	144	104	116	203
590	331	921	681	497	495	733	528
174	68	16	122	18	68	97	43
1064	2437	1989	2178	1279	4085	990	2364
133	240	384	639	513	700	447	363
2707	6720	3459	6544	71083	49268	33585	49463
348	152	429	451	404	189	412	584
1274	790	404	899	1429	756	2278	1327
892	236	245	398	210	470	564	520
15	14	9	22	6	4	25	12
17	71	334	266	19	94	349	757
22	20	12	4	42	51	20	18
1569	3588	2213	896	1692	2134	2618	1981
355	417	344	294	178	88	157	129
822	431	1514	1662	1595	780	601	877
775	1636	571	1033	1537	1339	1134	1163
2326	2617	1028	631	5363	4097	7677	2273
385	374	526	1087	577	606	242	662
3390	1756	2756	2682	7293	4131	2160	2549
351	477	423	413	396	71	352	175
22	9	17	2	16	9	21	14
12	7	28	20	6	31	7	23
86	81	20	105	94	278	66	135
221	123	76	185	317	72	172	152
12	45	19	27	16	8	29	11
387	310	604	661	211	272	351	428
61	48	47	53	44	90	20	30
661	246	631	355	1039	1175	187	445
53	45	41	74	48	80	52	96
48	34	117	84	73	87	58	47
26	33	35	48	12	13	42	6
404	224	142	263	471	211	798	434
43	28	70	48	41	100	53	33
21	63	17	24	7	6	38	10
1352	14211	51421	48839	6046	11306	24126	74886
476	1462	2498	9766	332	501	3412	6036
1847	656	580	450	317	650	650	397
463	909	2514	9810	340	1887	3625	10869
833	706	877	487	313	330	727	378
1071	311	671	476	1024	307	1360	1529
45	26	12	33	9	15	3	24
690	512	465	208	796	591	433	199
11	11	3	2	14	6	11	5
324	831	474	467	692	48	616	572
97	66	87	40	99	25	110	147
571	610	5419	17681	521	1544	2498	10113
65	134	143	100	52	85	111	115
66	67	219	108	131	161	96	77
180	68	60	116	62	113	112	87
25	16	0	6	2	18	17	18
34	149	10	46	40	36	66	58
497	1226	1349	648	460	1077	523	563
584	190	1974	211	284	600	283	245
89	63	18	48	32	64	97	64
372	455	684	134	323	155	70	159
27	89	52	107	42	130	68	15
44	104	21	32	73	82	29	60
15359	39693	17097	30969	47348	26451	13504	26151
161	98	88	109	256	255	425	260
144	103	118	107	95	179	137	80
683	479	380	734	615	629	587	1170
1811	2710	4847	2865	1413	1026	1215	2585
57	239	46	112	71	153	150	110
292	255	469	342	165	236	386	256
2393	1957	2305	890	1374	729	795	578
64	11	34	55	77	136	132	23
389	1161	510	474	262	816	852	506
20	11	11	21	7	52	28	47
289	136	105	227	122	71	74	64
81	29	44	40	81	30	99	42
68	106	142	53	161	470	271	204
62	92	23	57	36	71	41	89
2	7	4	11	2	1	1	0
421	399	144	173	335	612	638	1412
174	194	373	555	619	326	724	352
96	43	162	115	53	262	196	78
186	278	234	229	335	297	153	475
224	397	786	455	158	312	172	337
6	10	9	0	11	11	10	6
390	997	540	218	125	100	256	260
828	798	866	1426	558	1658	1123	1213
241	229	292	543	206	231	241	202
620	514	768	1075	1645	219	1349	1586
220	256	248	265	120	131	199	243
214	440	166	423	177	175	136	276
199	205	73	94	247	151	110	473
11	41	16	17	41	25	33	31
320	177	311	314	282	106	171	203
239	248	126	144	157	250	177	144
102	61	89	129	136	89	89	89
319	702	749	388	457	290	419	904
195	149	87	111	141	243	227	215
55	70	70	74	66	41	94	32
23	13	22	36	10	12	6	18
14168	20681	15821	23757	20993	7579	15481	17565
57	73	69	53	22	46	59	37
280	284	220	159	337	364	371	384
219	155	164	233	151	157	145	145
38	24	31	30	78	21	9	58
128	181	86	163	136	175	143	136
24	128	69	62	76	38	71	97
2371	3178	735	1559	300	763	530	1070
292	428	196	498	353	244	201	90
37	96	86	44	50	21	74	114
123	93	46	46	25	49	64	27
512	412	643	1030	552	741	398	359
5	13	35	29	24	34	31	13
5822	3113	2421	2620	8528	5607	9081	4344
306	1494	1328	1190	390	192	168	55
537	362	617	780	743	715	708	1061
29	72	155	124	199	250	217	364
76	138	86	90	126	263	203	35
70	76	195	77	132	180	131	101
21474	8833	10793	22080	21265	17386	20227	23657
632	439	1001	977	754	756	629	708
1792	701	895	2255	2233	6632	699	1439
257	257	329	474	242	701	1068	629
1076	675	1456	1195	435	873	347	364
262	581	276	288	306	253	231	313
739	977	753	1884	547	501	668	887
790	1194	562	499	216	233	233	507
116	297	186	592	175	288	282	140
187	91	208	76	59	48	49	77
19	20	4	14	8	8	13	15
1376	1647	1174	948	1003	1187	835	2259
1255	8314	7812	71527	548	659	4741	12610
976	1121	1221	1012	1406	619	585	472
582	392	470	376	223	211	646	369
129	522	478	514	1183	719	983	667
934	777	267	340	1331	1331	369	841
24	4	19	20	17	13	20	17
600	329	275	1022	193	784	349	381
140	177	185	103	87	153	102	113
320	243	486	444	590	240	421	384
455	343	400	640	387	150	632	588
5	1	3	4	2	4	4	4
531	944	3478	6091	502	728	918	8395
82	45	46	136	30	151	215	146
4268	8902	42223	210875	9917	17338	61806	74633
657	1881	2191	449	297	513	1614	653
29006	3323	22854	16017	13930	12856	21274	5172
17	19	14	20	0	13	8	9
821	757	976	959	963	679	432	637
530	516	748	522	622	431	1743	266
395	594	1320	4241	121	180	1626	3962
68	46	86	52	56	125	152	74
2151	2516	1947	1864	1774	1417	2028	909
17	16	8	22	12	3	8	6
796	381	392	491	424	710	362	664
2375	3025	2530	2834	480	1594	1055	323
1482	8727	20719	45584	2471	2245	8901	33960
834	252	532	439	355	508	637	311
278	239	176	266	359	392	87	223
109	148	117	96	95	300	190	155
19	44	25	49	23	56	50	6
754	668	225	298	92	821	690	187
41	44	47	15	13	1	9	17
12	23	8	29	5	10	6	6
89	59	149	52	263	331	249	138
18	15	9	22	9	13	39	29
5	6	1	5	1	4	5	3
225	252	133	281	86	202	66	175
2452	4285	3052	3084	2282	3920	3341	4258
1671	2925	3446	1305	2406	2255	1252	1428
3	6	7	3	7	4	4	6
43	82	77	118	43	106	55	97
7970	7387	5083	4937	1655	10715	3059	9103
535	1863	1088	793	1167	1656	669	1369
24502	5036	9209	14689	5164	9030	9364	11147
1480	3572	1066	728	1599	1415	2414	800
2501	2428	3116	1343	1525	1539	1814	3080
38	10	13	30	19	40	15	9
636	300	293	393	355	1037	638	988
56	20	55	44	18	94	64	46
114	71	204	166	798	180	384	262
48	186	137	55	42	63	75	62
0	9	0	8	7	12	3	4
316	609	2758	1510	409	1318	2305	4836
14192	41459	21542	17160	49183	21653	22534	59970
2	4	2	2	0	0	0	1
120	110	93	39	32	57	114	103
229	315	417	319	631	143	267	506
1131	1612	559	624	2092	3132	4479	2383
1454	3326	2004	1793	1160	2533	3081	1802
1476	554	386	293	442	1394	798	271
646	751	452	639	755	1008	689	710
24	9	17	32	25	27	24	20
4	4	5	4	9	18	15	18
186	185	263	115	170	179	255	124
23	70	47	53	53	19	90	31
191	575	3114	5067	159	374	1479	3114
174	271	158	204	338	144	270	144
33	59	3	25	66	19	103	35
389	760	456	697	879	334	629	215
10	10	4	4	2	6	3	2
198	168	318	351	123	248	179	248
1428	1850	2101	1061	735	1008	793	300
8	13	42	27	19	48	21	19
4	4	1	16	7	3	13	5
309	760	278	1218	610	679	938	914
982	1377	916	414	894	916	1192	756
6	2	5	2	9	5	3	3
1707	1936	2787	3987	3485	2900	3820	3842
64359	40841	30828	53444	48164	28141	15981	28471
6	17	29	10	12	8	10	10
149	74	255	137	132	143	189	159
48	82	38	75	27	40	13	28
2960	4508	1922	2327	580	1129	579	880
23	13	30	21	13	12	15	21
2930	1077	2257	2277	1925	2775	3284	7219
8	13	5	17	4	23	24	14
31	94	291	682	42	55	383	1272
17310	9590	14182	8147	12871	12464	6749	12289
909	278	315	473	377	154	174	154
79	98	41	58	43	38	41	19
4176	3745	4690	2342	1855	1713	1076	1302
697	530	440	188	613	293	762	409
7087	6654	6728	1258	5655	4754	4433	3330
54	54	58	42	40	91	31	79
190	174	386	416	457	91	201	303
11	5	15	2	7	0	7	5
393	709	332	285	538	547	522	225
8	9	3	11	6	16	7	12
29	33	39	60	21	19	78	44
36	87	44	131	136	49	52	77
89	166	123	287	101	497	104	80
303	112	151	351	65	156	291	98
81	159	115	83	146	87	143	138
242	388	275	406	5852	18631	4550	6460
289	492	353	956	1184	1538	801	1186
150	148	138	195	137	61	100	262
322	797	407	295	299	365	520	158
4	3	1	3	1	1	9	6
260	316	184	384	358	533	357	1092
83	59	99	121	83	33	116	74
201	81	133	96	90	94	51	166
182	104	86	113	103	118	33	148
56	346	395	327	576	408	136	132
327	296	169	144	137	89	441	168
601	548	613	1418	506	856	596	670
8	18	9	19	3	5	1	3
181	174	75	275	299	417	137	504
302	570	264	425	317	328	189	206
306	712	549	761	549	920	587	1122
335	71	242	137	140	179	171	200
5289	4999	3498	2285	1478	2296	2731	854
37	14	18	26	17	19	12	7
50	210	103	214	216	687	216	255
22	18	6	4	7	10	0	10
2591	3316	1058	1661	1732	1886	2708	2570
460	1288	1294	3626	514	848	2102	7974
38	10	100	68	44	83	48	39
417	415	552	448	661	233	1124	655
74	42	56	37	5	32	11	17
6	30	1	38	6	12	6	15
114	75	50	114	34	103	58	82
11	6	0	0	0	4	1	6
35343	24706	77619	39794	55511	28929	32722	57142
497	592	380	259	219	418	260	281
76	92	217	167	158	399	146	351
129	368	73	79	96	57	59	74
4	4	1	8	3	5	2	11
31621	80319	153568	482867	12326	110150	49227	169281
116	94	306	217	265	158	94	392
1250	834	484	616	642	333	416	394
817	773	426	2029	537	564	565	166
5649	2968	9087	3289	3792	2778	5058	2822
49	79	98	128	108	60	72	47
173	349	260	54	282	102	213	140
1587	16793	40346	115634	1524	8258	16838	102360
142	63	142	82	124	43	109	65
136	193	345	351	212	461	471	854
170	265	262	201	601	294	250	249
40	106	61	58	39	27	25	101
136	568	373	352	608	615	363	921
87	273	81	32	11	8	29	31
457	752	526	1550	3034	1619	918	2081
112	77	149	50	58	141	43	75
85	61	11	51	379	301	180	177
206	242	156	358	321	160	201	178
156	94	220	142	82	188	81	83
2476	1737	1152	623	965	1537	2199	869
30	25	40	25	10	20	29	42
7	4	0	4	0	11	5	0
123	93	131	369	195	88	122	126
601	1629	1575	1276	487	1850	978	751
717	696	519	514	574	896	1839	162
16	32	31	17	6	2	3	1
2295	2454	991	2385	1691	2651	1692	2367
590	1202	1634	1857	418	618	1534	1868
274	408	542	306	658	851	396	718
72	39	19	30	39	25	56	43
3	5	6	9	3	1	3	3
2889	5020	4645	42759	6231	9905	14125	101512
294	1108	2906	9944	105	1435	2387	4417
79	85	59	119	35	10	32	47
820	1028	1496	411	223	2148	177	609
298	305	455	457	1164	504	772	1003
73	49	92	33	49	50	33	92
419	528	553	244	590	925	578	266
760	3393	2442	1359	3439	2189	379	1624
904	4273	19291	26050	1404	3395	11698	11214
330	308	695	395	766	377	676	795
185	152	82	310	123	63	110	105
49	108	74	67	189	144	109	176
608	387	422	443	411	169	159	442
154	82	77	111	127	116	239	83
141	252	198	82	75	94	165	265
216	199	72	51	239	190	271	82
33	28	41	17	24	37	25	28
264	382	412	194	203	193	339	120
85	96	43	44	102	50	30	55
14	19	21	16	15	20	16	10
3	32	7	7	13	13	30	34
1706	2561	289	1225	1286	1385	2637	1212
211	516	411	1032	989	391	548	136
576	410	617	422	339	551	461	621
105	161	66	143	116	83	139	34
345	574	440	493	1410	913	637	603
4732	2693	2527	2562	2719	1778	3565	2389
19	19	20	26	34	40	58	93
1963942	1104176	1289311	1320176	1111574	322940	419823	1106046
18	290	209	978	10	19	116	1175
385	1191	765	2153	1354	1120	947	928
21	35	27	27	11	27	11	16
648	513	364	716	179	716	365	231
223	338	226	199	275	145	498	304
188	216	368	170	450	128	607	788
368	430	167	513	133	376	138	266
74	47	24	32	27	53	41	37
11	15	13	17	6	10	10	11
163	270	86	108	256	266	116	231
162	166	509	4146	1207	1363	7711	14715
113	375	250	309	336	248	161	484
16	19	16	17	6	21	10	17
2	4	15	18	12	5	9	14
525	728	1578	2245	636	1207	3895	12627
83	22	134	0	0	58	0	0
462	832	396	551	885	364	456	213
40	34	25	15	56	50	39	41
525	878	514	176	221	540	308	162
324	330	305	331	780	1102	421	254
2	5	5	4	1	1	1	2
7	2	6	10	3	10	1	1
1171	1967	1177	363	987	1652	887	1562
74	38	32	21	19	36	103	38
86	39	119	102	72	42	22	49
13403	4818	7869	8663	13388	12366	6509	10759
173	194	274	42	238	178	233	213
269	677	597	767	515	282	252	298
215	126	181	174	169	367	294	137
814	454	796	1052	2681	3198	4725	1841
23	17	50	60	15	25	18	31
1332	1407	1033	328	460	790	575	818
563	1277	3253	2028	702	858	575	609
1697	951	1353	561	535	1486	2215	1320
2063	1496	2833	1195	2172	1580	1909	1686
25	3	5	8	15	6	2	15
394	306	507	352	485	957	1103	693
371	227	428	663	198	350	416	528
138	227	159	221	320	157	456	326
382	202	147	454	231	159	114	167
37	38	64	49	51	59	45	34
189	537	604	300	446	223	317	404
58	13	64	24	43	6	24	7
617	231	676	382	869	541	599	921
20	34	27	28	57	71	141	47
68	141	143	72	404	639	638	659
437	118	211	171	213	283	126	149
198	864	1384	2663	585	1372	1316	7213
27972	4576	27363	22277	22030	26548	37761	30654
18199	36191	26062	30966	24519	39658	30158	39930
4746	931	3171	1166	1773	596	815	648
76	27	36	53	77	58	36	20
2811	10398	4107	6079	831	1543	882	1080
121	42	65	102	103	90	129	91
3	2	13	0	17	4	14	12
728	1560	4525	5456	370	1158	1833	7547
432	521	756	391	427	267	397	257
233	72	125	158	95	114	19	74
3223	1255	1920	2981	2818	2175	950	5988
267	423	115	578	78	388	682	189
11	55	46	12	44	22	15	29
54	57	28	18	61	37	9	38
255	342	475	361	507	388	291	414
1222	977	856	2419	1250	433	840	508
338	410	748	536	400	344	558	181
344	614	461	821	172	202	220	145
141	16	201	107	47	45	88	60
259	987	731	6595	158	343	1222	3956
78	61	126	53	152	226	83	226
4121	368	1853	1384	2569	1619	662	1950
20	8	12	24	8	20	6	13
157	221	348	132	53	188	347	329
90	150	186	220	150	117	78	37
93	172	98	185	124	70	26	98
1112	5527	7431	14492	4360	7135	17415	88308
251	448	394	493	205	403	221	387
85	42	36	19	31	21	26	32
25158	9657	18992	7559	27424	17885	11339	32787
16	11	14	16	29	32	23	13
53	135	57	71	36	71	23	169
2	2	2	3	4	7	4	5
3013	7742	5633	5453	13818	14075	2654	5850
37	43	40	45	23	67	24	118
538	539	326	259	935	406	286	831
449	523	815	571	303	308	314	97
1399	1037	531	383	605	477	252	666
162	227	274	86	287	282	149	155
8	0	5	9	0	0	1	0
597	647	869	548	249	268	70	359
127	48	90	61	35	94	62	13
399	474	338	502	151	210	361	675
484	205	89	145	281	369	278	446
11	6	11	2	7	7	9	7
115	34	147	1446	90	262	537	1905
233	98	216	266	129	212	329	188
588	2923	6016	5712	779	3547	3496	19182
307	166	174	86	204	128	290	284
173	128	194	146	150	73	177	233
112	198	184	181	209	209	199	147
99417	108517	211156	102212	54919	32784	89018	55493
24	12	39	9	18	14	8	8
14142	11044	7806	8886	67419	124694	46349	105944
92	39	17	73	25	93	26	34
2276	667	863	772	1560	644	693	690
432	145	331	410	163	269	221	266
148	215	45	90	322	285	231	201
3	6	7	6	2	4	5	6
283	263	438	717	855	164	367	292
507	169	332	268	381	360	273	153
194	66	124	148	122	333	142	137
308	363	415	750	438	223	242	566
206	124	139	209	246	92	134	220
441	2052	1738	1421	1639	671	1299	2875
468	872	1191	686	1368	1938	1155	1723
271	202	189	193	184	144	61	72
312	404	375	655	544	205	662	301
6	9	9	7	9	6	7	4
162	148	332	237	135	710	341	62
202	124	80	84	230	71	110	134
402	1157	886	1241	746	1379	1368	1088
110	49	34	74	23	89	162	93
150	90	94	68	114	130	244	198
864	2688	6860	11261	756	2879	9214	61315
1270	810	1014	1257	497	652	646	633
6453	4256	7588	10755	16385	14726	11099	14564
202	98	35	188	140	66	77	178
365	224	390	515	250	191	308	202
7	10	2	4	3	7	5	15
3111	4939	6108	4001	2113	3296	2388	2392
61	43	55	38	61	10	61	19
129	143	28	69	32	49	117	55
615	797	725	1354	823	695	1242	574
791	703	1373	545	1199	680	730	717
429	673	440	301	784	175	302	446
146	338	316	172	388	375	667	685
369	294	417	624	168	352	90	72
12	29	20	26	36	45	66	24
257	246	179	228	192	94	87	217
254	307	1118	1572	489	850	453	1656
95	65	262	166	300	78	264	103
255	249	75	262	136	68	104	52
6	2	8	7	29	36	31	38
110	131	69	267	73	214	194	262
82	77	230	146	224	461	166	154
127	249	74	379	126	53	51	65
18	71	27	53	5	114	27	42
34	15	21	27	33	18	34	14
782	2092	500	1084	1022	1324	1189	2116
152	122	390	175	42	78	76	99
152	145	49	47	55	122	105	37
1170	3417	4000	4993	6761	3772	3558	3691
35	40	22	21	9	8	5	14
214	388	355	558	409	522	383	211
0	0	6	7	15	0	0	0
92	120	58	182	64	69	37	96
131	198	65	239	264	74	385	307
889	825	472	484	293	1143	827	1151
1431	1715	939	1793	1624	407	1196	1244
108	48	92	85	70	207	192	176
48	62	96	65	28	30	21	28
10	5	6	10	8	4	6	10
455	158	214	431	326	120	228	431
535	266	382	375	421	301	295	366
19	29	35	19	44	37	14	68
633	648	727	557	652	156	227	432
98	28	96	64	96	64	102	96
8	3	1	8	5	11	11	15
7	10	12	10	3	7	6	9
24	19	3	4	9	16	0	4
541	2671	8767	22326	1026	4371	7523	22760
285	549	148	483	187	115	157	225
188	433	60	265	212	163	150	118
988	1634	1692	1810	3194	962	3435	2823
242	108	239	178	248	200	213	371
11	16	10	15	7	3	2	13
6	0	1	2	4	2	13	4
48	36	20	81	43	27	80	44
796	1276	2330	696	1153	668	1309	1597
32	73	65	64	46	39	31	69
1997	3406	2722	1936	1324	2756	1364	2976
299	279	244	215	52	64	50	30
481	809	457	269	2285	624	2982	1677
49	15	61	31	20	14	34	13
27	44	31	36	22	58	63	10
38	32	22	36	87	76	47	34
28	7	9	20	6	16	14	14
150	228	158	165	516	301	205	454
18	48	30	18	22	36	28	31
438	530	353	354	799	1064	446	290
36835	34338	25176	22031	9599	35154	24514	52797
68	20	18	46	3	2	3	10
791	1059	1090	267	2222	1172	2145	2333
249	226	76	377	84	170	133	233
278	155	228	310	352	466	375	412
438	443	928	693	874	186	1084	314
154	106	95	69	141	87	71	65
108	55	35	96	75	87	169	167
4	13	9	7	13	7	8	3
19	62	43	339	49	91	328	247
53	21	32	21	48	33	20	28
217	249	108	170	63	45	27	107
11	21	29	20	14	16	16	23
88	113	85	245	284	34	97	188
266	196	288	119	185	458	207	265
284	180	218	230	76	307	95	280
29	20	55	29	29	50	36	38
1706	2411	4119	1024	5470	10562	10990	5103
648	242	478	207	357	370	218	583
29	33	36	36	47	45	73	38
189	139	111	156	215	221	83	76
449	925	671	1568	926	1088	816	1069
23	158	137	1681	92	137	328	415
167	95	382	480	118	197	152	78
221	616	346	760	176	443	120	208
81	30	53	40	58	55	25	71
4542	1659	1492	1905	1262	1340	2509	2046
18859	14910	20871	7890	18922	22618	5471	20511
1444	684	572	341	253	394	295	245
1256	1039	687	934	945	1150	615	694
67	43	119	74	119	111	83	70
408	514	631	620	528	273	394	348
148	183	176	117	117	215	67	257
28	80	56	150	76	110	57	73
201	115	241	178	73	132	147	78
492	1124	598	720	348	296	265	206
189	87	398	182	226	229	402	257
860	1443	2040	12501	432	1222	2862	7150
438	276	246	217	680	714	1235	249
52	104	33	159	31	46	38	24
7	7	1	2	1	2	2	2
184	563	127	119	105	140	79	248
491	158	840	398	396	502	263	467
1161	1086	949	1012	1115	534	712	711
142	93	55	116	92	152	238	133
273	138	170	78	62	85	122	183
379	335	567	381	46	161	194	142
486	1406	735	674	1889	449	818	864
3763	2234	1232	1342	1173	2022	1596	1803
105	12	56	205	97	116	15	85
369	1199	735	2015	1124	1146	1620	522
11	6	5	3	6	6	2	10
146	43	177	58	10	46	36	57
511	455	206	446	248	477	400	212
793	348	793	1094	413	492	137	237
657	1395	695	589	683	1627	1228	1577
205	230	411	464	175	208	131	140
303	208	71	90	229	434	299	551
184	79	107	31	82	45	122	16
102	136	181	65	88	42	22	148
1808	2204	4228	2670	1172	2790	1412	1363
12	37	25	28	16	8	10	7
286	237	258	99	223	153	166	172
8	8	8	11	7	6	11	6
375	390	554	546	358	259	594	248
278	218	1198	201	1234	828	644	716
1880	892	582	1569	1285	577	1156	2226
330	304	136	363	168	152	163	231
1330	1099	801	1565	959	724	1098	999
9796	3836	8647	4108	8498	6158	3585	3332
175	168	139	184	270	195	109	203
155	130	220	133	56	96	173	88
367	683	492	310	489	679	276	359
52	21	24	18	47	70	14	78
2412	353	2113	1907	523	819	2000	699
3159	1470	1231	2771	1441	2815	1070	2747
673	1267	891	1024	917	1930	923	815
112	58	116	46	20	79	40	52
862	1297	423	965	2038	833	232	846
8	68	69	204	17	33	207	406
659	522	615	388	524	326	372	439
608	670	294	326	423	323	665	352
110	43	136	44	27	20	18	43
229	35	149	339	1143	785	709	640
42	72	38	49	63	74	59	78
10	4	7	4	7	10	8	9
225	95	232	131	141	288	231	265
449	545	307	370	709	363	742	357
378	90	239	188	262	159	128	288
341	735	3564	4948	444	641	1068	2636
3010	3897	1992	3555	2819	4409	908	3081
298	126	232	162	424	253	194	445
157	106	99	111	118	94	66	63
272	486	217	136	124	467	390	228
2380	801	911	3184	1947	1820	4628	4046
1088	2013	788	679	169	467	779	652
13	9	2	5	19	9	8	14
379	384	163	220	240	577	599	338
118	129	104	332	70	114	115	31
156	53	95	85	116	87	148	169
50	114	56	190	401	565	602	393
5	3	5	2	12	12	17	6
213	178	381	332	506	354	281	506
51	58	93	31	109	22	79	49
489	414	377	524	519	475	650	363
497	974	895	644	482	439	712	487
108	92	206	153	595	135	125	502
303	284	475	437	366	81	72	140
227	1553	4794	11554	480	872	1692	9786
1120	760	455	726	775	523	449	495
83	51	73	67	34	26	109	42
78	224	461	399	138	192	70	142
1862	2219	5596	3478	4357	8069	4880	7835
204	236	350	509	486	118	395	448
29	29	8	12	50	112	80	68
16	39	27	23	11	23	18	15
292	304	190	95	223	193	143	113
144	34	45	67	37	64	39	57
315	327	337	427	533	575	150	317
514	325	1364	589	1793	699	1636	866
12	62	185	164	1	1	17	52
2543	2832	3768	6569	2505	3353	5001	6224
386	655	796	532	444	339	569	292
3349	4269	3693	1731	2744	2971	3878	4330
120	76	109	59	5	44	37	27
48	151	263	574	11	45	155	855
73	82	71	73	104	100	47	48
450	255	620	217	611	264	815	918
1788	302	1369	725	1479	708	255	734
201	131	152	220	37	119	70	203
856	876	436	573	1461	2499	4362	2348
18	16	7	8	0	3	5	4
1979	739	757	514	4762	2603	2530	1803
1401	1075	1093	1320	1126	1052	1916	1393
284	657	2335	3450	180	429	2170	9046
1093	996	320	593	1404	935	908	406
7	14	31	13	18	22	21	12
39	38	38	63	24	134	169	28
1220	1377	295	1545	1440	816	1466	2088
365	359	130	782	370	207	382	249
3302	4535	11699	6179	5803	11379	4248	5813
166	203	450	512	198	331	426	244
930	631	1299	1006	1775	737	1320	1719
2	3	6	4	5	1	3	5
337	291	412	173	76	144	75	239
117	100	108	72	107	53	219	56
168	385	488	883	702	810	558	496
1075	597	756	926	718	677	778	570
120	75	107	40	62	95	15	81
86	277	122	165	171	170	88	271
203	95	72	197	108	241	151	71
337	355	653	764	169	468	182	306
195	464	291	294	382	613	601	550
110	135	162	111	300	444	247	435
121	146	74	51	21	79	268	130
363	1311	546	734	472	917	192	523
214	290	165	147	220	388	254	194
794	1193	1262	568	540	821	989	710
405	271	346	325	80	270	113	192
257	163	397	212	457	207	73	73
201	810	469	1166	602	634	1353	1059
53	161	80	39	181	88	93	170
5594	14808	12611	18214	5371	15168	7052	28112
811	917	1064	1523	855	970	1241	288
4	0	5	1	3	0	4	4
